Census Tract,County,Number of Families,Number of Families in Poverty,Percentage of Families in Poverty
218.05,DeKalb,1518.00,167.00,11.0
114,Chatham,144.00,16.00,11.1
16.02,Richmond,966.00,107.00,11.1
1206.02,Paulding,2700.00,303.00,11.2
1301.03,Forsyth,1001.00,112.00,11.2
1801.06,Barrow,645.00,72.00,11.2
203.02,Walker,1524.00,171.00,11.2
215.03,DeKalb,830.00,93.00,11.2
14.04,Hall,1203.00,137.00,11.4
1801.08,Barrow,721.00,82.00,11.4
202,Madison,1258.00,143.00,11.4
203,Lee,1427.00,163.00,11.4
201,Lee,1929.00,222.00,11.5
116,Dougherty,535.00,62.00,11.6
208.02,DeKalb,1015.00,118.00,11.6
1402.04,Fayette,1511.00,177.00,11.7
2001,Seminole,711.00,83.00,11.7
234.14,DeKalb,1676.00,198.00,11.8
107.09,Richmond,1453.00,173.00,11.9
202.05,Chattahoochee,607.00,73.00,12.0
208,Walker,895.00,107.00,12.0
1105.04,Walton,1303.00,158.00,12.1
2,Muscogee,655.00,79.00,12.1
1102,Walton,1270.00,155.00,12.2
205.01,Walker,2202.00,269.00,12.2
219.07,DeKalb,2291.00,279.00,12.2
234.22,DeKalb,1323.00,163.00,12.3
13.01,Hall,1537.00,191.00,12.4
1202,Harris,904.00,113.00,12.5
112,Lowndes,943.00,119.00,12.6
2.01,Floyd,1650.00,207.00,12.6
201.06,Houston,802.00,101.00,12.6
212.08,DeKalb,898.00,113.00,12.6
220.01,DeKalb,945.00,119.00,12.6
1501,Butts,2212.00,280.00,12.7
207,DeKalb,447.00,57.00,12.8
218.06,DeKalb,1445.00,187.00,12.9
218.08,DeKalb,1149.00,148.00,12.9
1507,Clarke,1206.00,158.00,13.1
1304.06,Forsyth,1535.00,202.00,13.2
1508,Clarke,1514.00,200.00,13.2
113,Dougherty,518.00,69.00,13.3
1505,Clarke,633.00,84.00,13.3
17,Fulton,700.00,93.00,13.3
1801.05,Barrow,761.00,102.00,13.4
214,Houston,2068.00,276.00,13.4
223.02,DeKalb,993.00,133.00,13.4
114.05,Fulton,1780.00,240.00,13.5
203,Madison,1150.00,155.00,13.5
1610,Spalding,1353.00,185.00,13.7
234.16,DeKalb,1691.00,231.00,13.7
1204,Paulding,4739.00,654.00,13.8
121.01,Bibb,514.00,71.00,13.8
1703.06,Coweta,2448.00,337.00,13.8
12,Floyd,1046.00,146.00,14.0
1203.02,Paulding,3174.00,445.00,14.0
20,Floyd,1251.00,175.00,14.0
1401.01,Fayette,2125.00,299.00,14.1
108,Bibb,231.00,33.00,14.3
1103,Walton,1687.00,245.00,14.5
1801.07,Barrow,954.00,139.00,14.6
1107,Walton,1944.00,286.00,14.7
1205.01,Paulding,1779.00,263.00,14.8
231.02,DeKalb,859.00,127.00,14.8
1802.03,Barrow,801.00,119.00,14.9
22,Chatham,879.00,131.00,14.9
225,DeKalb,1298.00,193.00,14.9
205,DeKalb,659.00,99.00,15.0
231.01,DeKalb,970.00,145.00,15.0
1107,Bulloch,2397.00,362.00,15.1
1203.01,Paulding,1529.00,231.00,15.1
1205,Terrell,437.00,66.00,15.1
18,Floyd,1316.00,199.00,15.1
214.15,DeKalb,762.00,115.00,15.1
1304,Clarke,1558.00,237.00,15.2
135.03,Bibb,508.00,77.00,15.2
1805.02,Barrow,1272.00,193.00,15.2
205.02,Walker,1877.00,285.00,15.2
115,Lowndes,917.00,140.00,15.3
14.03,Hall,869.00,133.00,15.3
235.07,DeKalb,872.00,133.00,15.3
1404.06,Fayette,909.00,140.00,15.4
201,Chattahoochee,632.00,97.00,15.4
108.08,Chatham,2710.00,419.00,15.5
17.01,Floyd,1752.00,272.00,15.5
231.11,DeKalb,457.00,71.00,15.5
109.04,Richmond,851.00,134.00,15.8
220.04,DeKalb,1259.00,202.00,16.0
